,Latitude,Longitude,Burglary_Risk,2014-2018,label
0,40.498896,-74.241534,3,107356.63077535896,1
1,40.499017,-74.240599,1,107356.63077535896,1
2,40.499315,-74.239739,3,107356.63077535896,1
3,40.499393,-74.242174,1,107356.63077535896,1
4,40.500554,-74.243048,2,107356.63077535896,1
5,40.500909,-74.241251,1,107356.63077535896,1
6,40.501092,-74.240347,1,107356.63077535896,1
7,40.501456,-74.238535,1,107356.63077535896,1
8,40.501975,-74.249275,1,107356.63077535896,1
9,40.501999,-74.23775,1,107356.63077535896,1
10,40.502037,-74.232878,2,107356.63077535896,1
11,40.50215509,-74.2323165,1,107356.63077535896,1
12,40.502173,-74.237074,1,107356.63077535896,1
13,40.502369,-74.231752,2,107356.63077535896,1
14,40.502455,-74.253256,2,107356.63077535896,1
15,40.502516,-74.246622,1,107356.63077535896,1
16,40.5025888,-74.23365205,1,107356.63077535896,1
17,40.502754,-74.237897,1,107356.63077535896,1
18,40.502936,-74.22844,1,107356.63077535896,1
19,40.502976,-74.236702,1,107356.63077535896,1
20,40.503168,-74.231873,1,107356.63077535896,1
21,40.503224,-74.243019,2,107356.63077535896,1
22,40.503301,-74.249266,1,83886.46428714994,1
23,40.5035,-74.237516,1,107356.63077535896,1
24,40.503586,-74.241208,2,107356.63077535896,1
25,40.503863,-74.229919,2,107356.63077535896,1
26,40.503969,-74.238536,1,107356.63077535896,1
27,40.504075,-74.252751,2,83886.46428714994,1
28,40.504229,-74.250939,2,83886.46428714994,1
29,40.504259,-74.251844,1,83886.46428714994,1
30,40.504313,-74.228906,1,107356.63077535896,1
31,40.504375,-74.250101,1,83886.46428714994,1
32,40.50447,-74.230134,1,107356.63077535896,1
33,40.504526,-74.249203,1,83886.46428714994,1
34,40.504636,-74.230868,1,107356.63077535896,1
35,40.50478,-74.237943,1,107356.63077535896,1
36,40.50503,-74.247457,1,83886.46428714994,1
37,40.50521,-74.246528,1,83886.46428714994,1
38,40.505271,-74.238098,1,107356.63077535896,1
39,40.50536,-74.238993,1,107356.63077535896,1
40,40.505563,-74.244768,1,83886.46428714994,1
41,40.505699,-74.251893,1,83886.46428714994,1
42,40.50576,-74.240741,1,83886.46428714994,1
43,40.505924,-74.242973,1,83886.46428714994,1
44,40.506101,-74.242079,1,83886.46428714994,1
45,40.506269,-74.252248,1,83886.46428714994,1
46,40.506405,-74.224593,1,107356.63077535896,1
47,40.506503,-74.250727,1,83886.46428714994,1
